price,quantity,type,timestamp
49510000.0,0.18066775,0,2023-11-14 00:21:41
49509000.0,0.01084843,0,2023-11-14 00:21:41
49500000.0,0.22363994,0,2023-11-14 00:21:41
49499000.0,0.20282848,0,2023-11-14 00:21:41
49498000.0,0.00202028,0,2023-11-14 00:21:41
49496000.0,1.00846002,0,2023-11-14 00:21:41
49485000.0,0.46027353,0,2023-11-14 00:21:41
49482000.0,0.000105,0,2023-11-14 00:21:41
49480000.0,0.21008167,0,2023-11-14 00:21:41
49475000.0,0.01009601,0,2023-11-14 00:21:41
49474000.0,0.1151595,0,2023-11-14 00:21:41
49473000.0,0.00010108,0,2023-11-14 00:21:41
49472000.0,1.49254829,0,2023-11-14 00:21:41
49470000.0,0.04181829,0,2023-11-14 00:21:41
49468000.0,0.00020215,0,2023-11-14 00:21:41
49515000.0,0.0125558,1,2023-11-14 00:21:41
49516000.0,0.02202875,1,2023-11-14 00:21:41
49520000.0,0.01654917,1,2023-11-14 00:21:41
49521000.0,0.00060386,1,2023-11-14 00:21:41
49523000.0,0.0637,1,2023-11-14 00:21:41
49526000.0,0.00011537,1,2023-11-14 00:21:41
49529000.0,0.00109592,1,2023-11-14 00:21:41
49530000.0,0.93868735,1,2023-11-14 00:21:41
49532000.0,0.00085404,1,2023-11-14 00:21:41
49535000.0,0.0306368,1,2023-11-14 00:21:41
49537000.0,0.0006226,1,2023-11-14 00:21:41
49543000.0,0.65056034,1,2023-11-14 00:21:41
49548000.0,0.0123,1,2023-11-14 00:21:41
49549000.0,0.0123,1,2023-11-14 00:21:41
49550000.0,0.28495587,1,2023-11-14 00:21:41
49510000.0,0.13536775,0,2023-11-14 00:21:45
49509000.0,0.01084843,0,2023-11-14 00:21:45
49500000.0,0.22363994,0,2023-11-14 00:21:45
49499000.0,0.20282848,0,2023-11-14 00:21:45
49498000.0,0.00202028,0,2023-11-14 00:21:45
49496000.0,1.00846002,0,2023-11-14 00:21:45
49485000.0,0.37983809,0,2023-11-14 00:21:45
49482000.0,0.000105,0,2023-11-14 00:21:45
49480000.0,0.21008167,0,2023-11-14 00:21:45
49475000.0,0.01009601,0,2023-11-14 00:21:45
49474000.0,0.1151595,0,2023-11-14 00:21:45
49473000.0,0.00010108,0,2023-11-14 00:21:45
49472000.0,1.49254829,0,2023-11-14 00:21:45
49470000.0,0.04181829,0,2023-11-14 00:21:45
49468000.0,0.00020215,0,2023-11-14 00:21:45
49515000.0,0.03582928,1,2023-11-14 00:21:45
49516000.0,0.02202875,1,2023-11-14 00:21:45
49520000.0,0.01654917,1,2023-11-14 00:21:45
49521000.0,0.00060386,1,2023-11-14 00:21:45
49523000.0,0.0637,1,2023-11-14 00:21:45
49526000.0,0.00011537,1,2023-11-14 00:21:45
49529000.0,0.00109592,1,2023-11-14 00:21:45
49530000.0,0.93868735,1,2023-11-14 00:21:45
49532000.0,0.00085404,1,2023-11-14 00:21:45
49535000.0,0.0306368,1,2023-11-14 00:21:45
49537000.0,0.0006226,1,2023-11-14 00:21:45
49543000.0,0.65056034,1,2023-11-14 00:21:45
49549000.0,0.0123,1,2023-11-14 00:21:45
49550000.0,0.28495587,1,2023-11-14 00:21:45
49552000.0,0.00090841,1,2023-11-14 00:21:45
49510000.0,0.13460446,0,2023-11-14 00:21:47
49509000.0,0.01084843,0,2023-11-14 00:21:47
49500000.0,0.22363994,0,2023-11-14 00:21:47
49499000.0,0.20282848,0,2023-11-14 00:21:47
49498000.0,0.00202028,0,2023-11-14 00:21:47
